ProductKey,ProductName,Category,SubCategory,Brand
195,K380 Black,accessories,Keyboards,Logitech
196,Neo QLED 8K QN900D 48 inch,TELEVISIONS,QLED TVs,SAMSUNG
197,Legion 5 i5 16GB,LAPTOPS,Gaming Laptops,lenovo
198,Galaxy Buds 3 Pro White,audio,Earbuds,Samsung
199,Buds 5 White,Audio,Earbuds,XIAOMI
200,Apple Watch SE Blue,Wearables,Smartwatches,Apple
201,UltraGear 27GP 27 inch,Monitors,Gaming Monitors,LG
202,XPS 17 i5 16GB,LAPTOPS,Ultrabooks,Dell
203,Swift Go 14 i9 32GB,Laptops,Ultrabooks,ACER
204,Galaxy Buds 3 Pro Black,Audio,Earbuds,samsung
205,iPad 10th Gen 256GB WiFi,tablets,Entry Tablets,APPLE
206,Neo QLED 8K QN900D 77 inch,Televisions,QLED TVs,samsung
207,Bravia XR A95L OLED 48 inch,Televisions,OLED TVs,Sony
208,MacBook Pro 14 i7 16GB,Laptops,Business Laptops,apple
209,14 1TB,smartphones,Flagship Phones ,Xiaomi
210,ZenBook Duo i7 32GB,Laptops,Ultrabooks,ASUS
211,ThinkPad T14 i7 32GB,Laptops, Business Laptops,LENOVO
212,iPhone 14 128GB,smartphones,Mid-Range Phones,apple
213,Galaxy Z Flip 6 512GB,Smartphones,Foldable Phones,samsung
214,14T Pro 256GB,Smartphones,Mid-Range Phones,Xiaomi
215,Pavilion 15 i7 32GB,Laptops,Business Laptops,HP
216,MX Mechanical Blue,accessories,Keyboards,Logitech
217,G15 Gaming i7 32GB,Laptops,Gaming Laptops,Dell
218,K380 Silver,Accessories,Keyboards,Logitech
219,Galaxy Z Flip 6 128GB,SMARTPHONES,Foldable Phones,Samsung
220,Smart Band 9 Black,Wearables,Fitness Bands,Xiaomi
221,Galaxy S25 Ultra 1TB,Smartphones,Flagship Phones,SAMSUNG
222,Galaxy S25 Ultra 128GB,smartphones,Flagship Phones,Samsung
223,Galaxy Buds 3 Blue,AUDIO, Earbuds,samsung
224,EOS R50 White,Cameras,Mirrorless Cameras,CANON
225,Crystal UHD DU8000 48 inch,Televisions,LED TVs,SAMSUNG
226,EOS R5 Silver,cameras,Mirrorless Cameras,canon
227,E24 Monitor 27 inch,Monitors,Professional Monitors,hp
228,iPhone 16 Pro Max 128GB,SMARTPHONES,Flagship Phones,apple
229,Spectre x360 14 i7 16GB,Laptops,Ultrabooks,HP
230,Crystal UHD DU8000 77 inch,Televisions,LED TVs,SAMSUNG
231,IdeaPad Slim 3 i7 16GB,Laptops, Business Laptops,lenovo
232,Alienware m18 i9 32GB,laptops,Gaming Laptops ,DELL
233,iPhone SE 128GB,Smartphones,Mid-Range Phones,Apple
234,Watch S4 White,wearables,Smartwatches,xiaomi
235,Pad 6 256GB Cellular,tablets,Mid-Range Tablets,Xiaomi
236,Nitro XV272 34 inch,Monitors,Gaming Monitors,Acer
237,MX Master 3S White,ACCESSORIES,Mice ,Logitech
238,Galaxy A16 1TB,Smartphones,Budget Phones,samsung
239,ThinkPad X1 Yoga i7 32GB,laptops,Business Laptops,Lenovo
240,Swift Go 14 i7 16GB,LAPTOPS,Ultrabooks,Acer
241,ThinkPad X1 Carbon i5 16GB,Laptops,Business Laptops,Lenovo
242,Galaxy S24 Ultra 512GB,Smartphones,Flagship Phones ,samsung
243,MacBook Air M3 i9 32GB,laptops,Ultrabooks,apple
244,MacBook Air M3 i7 32GB,Laptops,Ultrabooks,apple
245,EOS R50 Black,cameras,Mirrorless Cameras,canon
246,Redmi 14C 1TB,SMARTPHONES,Budget Phones,Xiaomi
247,QLED Q80D 65 inch,Televisions,QLED TVs,Samsung
248,ROG Zephyrus G14 i5 16GB,Laptops,Gaming Laptops,ASUS
249,Redmi 14C 256GB,SMARTPHONES,Budget Phones,Xiaomi
250,EOS R8 Silver,cameras,Mirrorless Cameras,Canon
251,Alpha A7C II White,Cameras,Mirrorless Cameras,Sony
252,Alpha A7 IV Blue,Cameras,Mirrorless Cameras,Sony
253,LOQ 15 i7 32GB,Laptops,Gaming Laptops,LENOVO
254,Predator Helios 16 i5 16GB,laptops,Gaming Laptops,acer
255,ROG Zephyrus G14 i7 32GB,LAPTOPS,Gaming Laptops,ASUS
256,14 512GB,Smartphones,Flagship Phones,xiaomi
257,Spectre x360 16 i7 16GB,Laptops,Ultrabooks,HP
258,DualSense Controller Blue,GAMING, Controllers,SONY
259,EOS R6 Mark II White,cameras,Mirrorless Cameras,Canon
260,14 Ultra 256GB,smartphones,Flagship Phones,Xiaomi
261,Galaxy S24 Ultra 1TB,smartphones,Flagship Phones,samsung
262,14 128GB,smartphones,Flagship Phones,XIAOMI
263,Redmi Note 14 Pro 128GB,Smartphones,Mid-Range Phones,Xiaomi
264,Bravia XR A95L OLED 77 inch,Televisions,OLED TVs,Sony
265,Crystal UHD DU8000 55 inch,TELEVISIONS,LED TVs,Samsung
266,14 256GB,Smartphones,Flagship Phones,Xiaomi
267,Inspiron 15 i9 32GB,Laptops,Business Laptops,Dell
268,The Frame 55 inch,Televisions,QLED TVs,Samsung
269,UHD UR80 48 inch,Televisions,LED TVs,lg
270,Poco X7 Pro 512GB,Smartphones,Mid-Range Phones,Xiaomi
271,AirPods 4 Blue,AUDIO,Earbuds,Apple
272,Apple Watch Series 10 Blue,wearables,Smartwatches,Apple
273,ZenBook Duo i7 16GB,laptops,Ultrabooks,asus
274,Galaxy S25 Plus 1TB,Smartphones,Flagship Phones,Samsung
275,iPhone 15 Pro 512GB,Smartphones,Flagship Phones,apple
276,WH-1000XM5 Blue,Audio,Headphones,Sony
277,Galaxy Buds 3 White,Audio,Earbuds,Samsung
278,Inspiron 15 i5 16GB,Laptops,Business Laptops,Dell
279,Inspiron 14 i7 32GB,Laptops,Business Laptops,dell
280,Envy 15 i5 16GB,laptops,Business Laptops,HP
281,Yoga 9i i5 16GB,Laptops,Ultrabooks,lenovo
282,MX Mechanical Silver,ACCESSORIES,Keyboards,LOGITECH
283,iMac 24 Silver,desktops,All-in-One,APPLE
284,AirPods 4 White,audio,Earbuds,Apple
285,PowerShot G7 X Mark III White,cameras,Compact Cameras,Canon
286,Galaxy Watch 7 Black,Wearables,Smartwatches,Samsung
287,Inspiron 14 i9 32GB,Laptops,Business Laptops,Dell
288,MX Mechanical Black,Accessories,Keyboards,Logitech
289,MX Keys S Black,Accessories,Keyboards,Logitech
290,AirPods 4 Black,Audio,Earbuds,apple
291,MacBook Pro 16 i9 32GB,LAPTOPS,Business Laptops ,APPLE
292,Pavilion Aero 13 i7 16GB,LAPTOPS,Ultrabooks,hp
293,Nitro 5 i9 32GB,laptops,Gaming Laptops,Acer
294,Galaxy A56 256GB,smartphones,Mid-Range Phones,Samsung
295,Bravia XR A95L OLED 55 inch,Televisions,OLED TVs,Sony
296,Alpha A7 IV Black,CAMERAS,Mirrorless Cameras,SONY
297,QNED 90 77 inch,Televisions,LED TVs,LG
298,EliteBook 840 i9 32GB,Laptops,Business Laptops,HP
299,ThinkPad X1 Yoga i5 16GB,LAPTOPS,Business Laptops,LENOVO
300,S2722DGM 34 inch,monitors,Gaming Monitors,dell
301,ZenBook 14 OLED i9 32GB,Laptops,Ultrabooks,asus
302,AirPods 4 Silver,AUDIO,Earbuds,Apple
303,Galaxy A36 1TB,SMARTPHONES,Mid-Range Phones,Samsung
304,Chromebook Spin 514 i7 32GB,Laptops,Ultrabooks,Acer
305,iPhone 15 Pro 1TB,smartphones,Flagship Phones,apple
306,ROG Swift PG27 34 inch,monitors,Gaming Monitors,ASUS
307,MacBook Air M4 i7 32GB,laptops,Ultrabooks,Apple
308,iPhone 16 256GB,SMARTPHONES,Flagship Phones,apple
309,WH-1000XM6 Silver,Audio,Headphones,Sony
310,Galaxy Tab A9 256GB WiFi,tablets,Entry Tablets,Samsung
311,Nitro 5 i7 16GB,LAPTOPS,Gaming Laptops,Acer
312,WH-CH720N White,Audio,Headphones,Sony
313,WH-1000XM6 Blue,audio,Headphones ,sony
314,Galaxy S25 128GB,Smartphones,Flagship Phones,samsung
315,QLED Q80D 48 inch,televisions,QLED TVs,SAMSUNG
316,ZV-E10 White,Cameras,Compact Cameras,sony
317,MacBook Pro 16 i7 32GB,Laptops,Business Laptops,Apple
318,UltraSharp U2723QE 32 inch,Monitors,Professional Monitors,dell
319,G15 Gaming i7 16GB,laptops,Gaming Laptops,dell
320,Galaxy Tab S10 256GB WiFi,TABLETS, Mid-Range Tablets,Samsung
321,Alpha A7C II Black,Cameras,Mirrorless Cameras,Sony
322,Chromebook Spin 514 i5 16GB,Laptops,Ultrabooks,Acer
323,Aspire 5 i9 32GB,Laptops,Business Laptops,Acer
324,Smart Band 9 Blue,WEARABLES,Fitness Bands,Xiaomi
325,MacBook Pro 14 i7 32GB,Laptops,Business Laptops,Apple
326,OLED C5 55 inch,Televisions,OLED TVs,lg
327,ZV-E10 Silver,Cameras,Compact Cameras,Sony
328,iPad Pro 13 128GB WiFi,Tablets,Premium Tablets,Apple
329,WF-1000XM5 White,AUDIO,Earbuds,Sony
330,OLED G4 48 inch,televisions,OLED TVs,LG
331,Gram 16 i7 32GB,Laptops,Ultrabooks,LG
332,Galaxy Buds 3 Black,audio,Earbuds ,Samsung
333,PowerShot G7 X Mark III Black,Cameras,Compact Cameras,CANON
334,Buds 5 Blue,AUDIO,Earbuds,XIAOMI
335,OLED C5 48 inch,Televisions,OLED TVs,lg
336,MacBook Pro 16 i7 16GB,laptops,Business Laptops,Apple
337,WF-1000XM5 Black,Audio,Earbuds,Sony
338,Pavilion Aero 13 i7 32GB,Laptops,Ultrabooks,HP
339,ThinkPad T14 i9 32GB,Laptops,Business Laptops,lenovo
340,iPhone SE 512GB,smartphones,Mid-Range Phones,Apple
341,EOS R6 Mark II Black,Cameras, Mirrorless Cameras,Canon
342,QLED Q80D 55 inch,Televisions,QLED TVs,SAMSUNG
343,Yoga 9i i9 32GB,laptops, Ultrabooks,lenovo
344,Redmi 14C 128GB,smartphones,Budget Phones,xiaomi
345,Swift Go 14 i5 16GB,laptops,Ultrabooks,ACER
346,TUF Gaming VG27 32 inch,Monitors,Gaming Monitors,ASUS
347,ViewFinity S9 27 inch,Monitors,Professional Monitors,Samsung
348,IdeaPad 5 i7 16GB,laptops,Business Laptops,lenovo
349,Pavilion Aero 13 i9 32GB,laptops,Ultrabooks,HP
350,Predator Triton 14 i9 32GB,Laptops,Gaming Laptops,Acer
351,EOS R8 White,Cameras,Mirrorless Cameras,Canon
352,Yoga 9i i7 16GB,LAPTOPS,Ultrabooks,Lenovo
353,MacBook Pro 16 i5 16GB,LAPTOPS,Business Laptops,APPLE
354,iMac 24 White,desktops,All-in-One,Apple
355,MX Master 3S Black,ACCESSORIES, Mice,logitech
356,EOS R6 Mark II Blue,CAMERAS,Mirrorless Cameras,Canon
357,ZenBook 14 OLED i7 16GB,laptops,Ultrabooks,asus
358,MacBook Air M4 i9 32GB,Laptops,Ultrabooks,apple
359,Legion Pro 5 i9 32GB,laptops,Gaming Laptops,Lenovo
360,XPS 13 i5 16GB,Laptops,Ultrabooks,Dell
361,Omen 16 i5 16GB,Laptops,Gaming Laptops,HP
362,QNED 90 48 inch,Televisions,LED TVs,LG
363,Legion 5 i9 32GB,laptops,Gaming Laptops,LENOVO
364,TUF Gaming A15 i5 16GB,LAPTOPS,Gaming Laptops,ASUS
365,Galaxy Buds 3 Silver,Audio,Earbuds,Samsung
366,Galaxy A16 128GB,SMARTPHONES,Budget Phones,SAMSUNG
367,Latitude 7450 i9 32GB,LAPTOPS,Business Laptops,Dell
368,DualSense Controller White,Gaming,Controllers,sony
369,OLED C4 77 inch,Televisions,OLED TVs,LG
370,14 Ultra 1TB,Smartphones,Flagship Phones,xiaomi
371,iPhone 14 256GB,Smartphones,Mid-Range Phones,Apple
372,G502 X Silver,Accessories,Mice,LOGITECH
373,iPad Air 11 256GB WiFi,Tablets,Mid-Range Tablets,Apple
374,WH-CH720N Silver,Audio,Headphones,sony
375,EOS R6 Mark II Silver,Cameras,Mirrorless Cameras,canon
376,Brio 4K,Accessories,Webcams,LOGITECH
377,Apple Watch Series 10 Silver,Wearables,Smartwatches,Apple
378,Omen 16 i7 16GB,Laptops,Gaming Laptops,hp
379,14 Ultra 512GB,Smartphones,Flagship Phones,xiaomi
380,AirPods Max Blue,audio,Headphones,Apple
381,XPS 13 i7 32GB,LAPTOPS,Ultrabooks,Dell
382,ZenBook Duo i9 32GB,laptops,Ultrabooks,ASUS
383,PlayStation 5 Pro,Gaming,Consoles,Sony
384,MX Anywhere 3S Blue,ACCESSORIES,Mice,Logitech
385,Alienware m18 i7 16GB,LAPTOPS,Gaming Laptops,Dell
386,Nitro 5 i7 32GB,LAPTOPS,Gaming Laptops,ACER
387,EOS R8 Black,Cameras,Mirrorless Cameras,canon
388,XPS 15 i9 32GB,Laptops,Ultrabooks,Dell
389,LOQ 15 i7 16GB,LAPTOPS,Gaming Laptops,Lenovo
390,iPhone 16 Plus 512GB,Smartphones,Flagship Phones,Apple
391,iPhone 15 Pro Max 512GB,smartphones,Flagship Phones,APPLE
392,Poco X7 Pro 128GB,smartphones,Mid-Range Phones,Xiaomi
393,Odyssey G9 32 inch,MONITORS,Gaming Monitors,samsung
394,XPS 15 i5 16GB,Laptops, Ultrabooks,Dell
395,OLED G4 65 inch,Televisions,OLED TVs,LG
396,Apple Watch Ultra 2 Black,wearables,Smartwatches,Apple
397,Latitude 7450 i7 32GB,Laptops,Business Laptops,dell
398,ROG Strix G16 i7 32GB,Laptops,Gaming Laptops,ASUS
399,Latitude 5540 i5 16GB,Laptops,Business Laptops,dell
400,Galaxy S24 Ultra 128GB,Smartphones,Flagship Phones,SAMSUNG
401,The Frame 65 inch,televisions,QLED TVs,Samsung
402,WF-1000XM5 Blue,Audio,Earbuds,Sony
403,TUF Gaming A15 i7 32GB,laptops,Gaming Laptops ,ASUS
404,EOS R5 Black,Cameras,Mirrorless Cameras,Canon
405,AirPods Pro 2 White,Audio,Earbuds,Apple
406,iPhone 16 1TB,smartphones,Flagship Phones,Apple
407,iPad 10th Gen 512GB Cellular,Tablets,Entry Tablets,apple
408,Apple Watch Ultra 2 Silver,WEARABLES,Smartwatches,apple
409,ViewFinity S9 32 inch,Monitors,Professional Monitors,samsung
410,Apple Watch SE White,wearables,Smartwatches,apple
411,ProArt Studiobook i5 16GB,laptops,Business Laptops,ASUS
412,OLED C4 65 inch,Televisions,OLED TVs,lg
413,Alienware x16 i5 16GB,Laptops,Gaming Laptops,dell
414,Neo QLED 8K QN900D 65 inch,Televisions,QLED TVs,Samsung
415,Predator Helios 16 i7 16GB,LAPTOPS,Gaming Laptops,Acer
416,Galaxy Buds 3 Pro Silver,Audio,Earbuds,Samsung
417,EliteBook 840 i7 32GB,laptops,Business Laptops,hp
418,OLED G4 77 inch,Televisions,OLED TVs,lg
419,Envy 15 i7 16GB,Laptops,Business Laptops,HP
